"Details","Phylum","Class","Order","Family","Genus","Species","Strain name","Strain name synonym","NCBI ID","WoRMS ID","Reads Type"
"","Haptophyta","Prymnesiophyceae","Isochrysidales","Isochrysidales","Gephyrocapsa","oceanica","AC300","RCC1303","38817","235955","paired"
"","Glaucocystophyta","Glaucocystophyceae","Glaucocystophytes","Glaucocystophytes","Gloeochaete","witrockiana","SAG46_84","","38269","610828","paired"
"","Ochrophyta","Pelagophyceae","Pelagomonadales","Pelagomonadales","Pelagomonas","calceolata","Biosope_111 C1E","RCC981","35677","345504","paired"
"","Glaucocystophyta","Glaucocystophyceae","Glaucocystophytes","Glaucocystophytes","Gloeochaete","witrockiana","SAG46_84","","38269","610828","paired"
"","Ochrophyta","Pinguiophyceae","Pinguiochrysidales","Pinguiochrysidales","Glossomastix","chrysoplasta","CCMP1537","RCC624","172669","376357","paired"
"","Cryptophyta","Cryptophyceae","Cryptophyceae_X","Cryptophyceae_X","Goniomonas","pacifica","CCMP1869","CCMP1869","195067","106308","paired"
"","Cryptophyta","Cryptophyceae","Cryptophyceae_X","Cryptophyceae_X","Goniomonas","sp","ATCC 50108","","31324","106286","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Gonyaulax","spinifera","CCMP409","CCMP409","66791","233509","paired"
"","Ochrophyta","Bacillariophyceae","Rhabdonematales","Rhabdonematales","Grammatophora","oceanica","CCMP410","CCMP410","210454","149339","paired"
"","Cryptophyta","Cryptophyceae","Cryptophyceae_X","Cryptophyceae_X","Guillardia","theta","CCMP2712","CCMP2712","905079","590566","paired"
"","Ochrophyta","Bacillariophyta","Coscinodiscophyceae","Coscinodiscophyceae","Guinardia","flaccida","RA120910 P1E1","RCC3093","216801","149132","paired"
"","Cercozoa","Filosa-Chlorarachnea","Chlorarachnida","Chlorarachnida","Gymnochlora","sp","CCMP2014","CCMP2014","629695","369707","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Gymnodinium","catenatum","GC744","","39447","109784","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Gyrodinium","dominans","SPMC 103","","285985","109851","paired"
"","Cryptophyta","Cryptophyceae","Cryptophyceae_X","Cryptophyceae_X","Hanusia","phi","CCMP325","CCMP325","3032","590576","paired"
"","Haptophyta","Prymnesiophyceae","Prymnesiales","Prymnesiales","Haptolina","ericina","CCMP281","CCMP281","156174","624976","paired"
"","Ochrophyta","Bacillariophyceae","Naviculales","Naviculales","Haslea","sp","Aka_5A P52.F2","RCC2677","1764899","","paired"
"","Ochrophyta","Mediophyceae","Briggerales","Briggerales","Helicotheca","tamensis","CCMP826","CCMP826","374047","157440","paired"
"","Cryptophyta","Cryptophyceae","Cryptophyceae_X","Cryptophyceae_X","Hemiselmis","andersenii","CCMP644","CCMP644","464988","623449","paired"
"","Cryptophyta","Cryptophyceae","Cryptophyceae_X","Cryptophyceae_X","Hemiselmis","andersenii","CCMP439","CCMP439","464988","623449","paired"
"","Cryptophyta","Cryptophyceae","Cryptophyceae_X","Cryptophyceae_X","Hemiselmis","andersenii","CCMP1180","CCMP1180","464988","623449","paired"
"","Cryptophyta","Cryptophyceae","Cryptophyceae_X","Cryptophyceae_X","Hemiselmis","andersenii","CCMP441","CCMP441","464988","623449","paired"
"","Cryptophyta","Cryptophyceae","Cryptophyceae_X","Cryptophyceae_X","Hemiselmis","rufescens","PCC563","","77926","573878","paired"
"","Cryptophyta","Cryptophyceae","Cryptophyceae_X","Cryptophyceae_X","Hemiselmis","tepida","CCMP443","CCMP443","464990","623452","paired"
"","Cryptophyta","Cryptophyceae","Cryptophyceae_X","Cryptophyceae_X","Hemiselmis","viresens","PCC157","","77927","106310","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Heterocapsa","arctica","CCMP445","CCMP445","192219","233607","paired"
